Unnamed: 0,PARCEL_NO,ADDRESS1,CITY,STATE,ZIP,BLDG_VALUE,LAND_VALUE,TOTAL_VALU,LAT,LONG,LOOKUP,SUCCESS,is_threatened
11119,99801217700,2301 ALONDA LN NE,OLYMPIA,WA,98516,26200.0,0.0,26200.0,47.0607,-122.82445,1,1,
11120,99801219600,4500 MARTIN WY E #20,OLYMPIA,WA,98516,13800.0,0.0,13800.0,0.0,0.0,1,0,
11121,99801225200,7300 32ND AVE NE # 48,OLYMPIA,WA,98516,10800.0,0.0,10800.0,0.0,0.0,1,0,
11122,99801227800,8530 STEILACOOM RD SE # 25,OLYMPIA,WA,98513,1700.0,0.0,1700.0,0.0,0.0,1,0,
11123,99801230000,439 DUTTEROW RD SE # 6,OLYMPIA,WA,98513,18100.0,0.0,18100.0,0.0,0.0,1,0,
11124,99801230300,7300 32ND AVE NE # 41,OLYMPIA,WA,98516,29500.0,0.0,29500.0,0.0,0.0,1,0,
11125,99801238700,8915 SE WILKENSEN RD 4B,YELM,WA,98597,11200.0,0.0,11200.0,0.0,0.0,1,0,
11126,99801239900,PO BOX 1137,YELM,WA,98597,5900.0,0.0,5900.0,0.0,0.0,1,0,
11127,99801250600,4500 MARTIN WAY E # 89,OLYMPIA,WA,98516,13300.0,0.0,13300.0,0.0,0.0,1,0,
11128,99801250800,8510 MARTIN WAY E #16,LACEY,WA,98516,15000.0,0.0,15000.0,0.0,0.0,1,0,
11129,99801270100,7138 ENGLEWOOD DR SE # 9,OLYMPIA,WA,98513,15200.0,0.0,15200.0,0.0,0.0,1,0,
11130,99801271100,439 DUTTEROW RD SE TRLR 14,OLYMPIA,WA,98513,8000.0,0.0,8000.0,0.0,0.0,1,0,
11131,99801275900,6748 FIR TREE RD SE # 20,OLYMPIA,WA,98513,21300.0,0.0,21300.0,46.96419,-122.81814,1,1,
11132,99801276800,8530 STEILACOOM RD SE # 149,OLYMPIA,WA,98513,22700.0,0.0,22700.0,0.0,0.0,1,0,
11133,99801278000,8510 E MARTIN WY 10,OLYMPIA,WA,98516,10500.0,0.0,10500.0,0.0,0.0,1,0,
11134,99801289900,6200 FAIR OAKS RD SE # 12,OLYMPIA,WA,98513,7200.0,0.0,7200.0,0.0,0.0,1,0,
11135,99801290100,7838 MARTIN WAY NE # 15,OLYMPIA,WA,98516,1400.0,0.0,1400.0,0.0,0.0,1,0,
11136,99801294000,8530 STEILACOOM RD SE # 53,OLYMPIA,WA,98513,16400.0,0.0,16400.0,0.0,0.0,1,0,
11137,99801301200,2309 ALONDA LN NE,OLYMPIA,WA,98516,25500.0,0.0,25500.0,47.0607,-122.82445,1,1,
11138,99801303100,7838 MARTIN WAY NE # 6,OLYMPIA,WA,98516,1100.0,0.0,1100.0,0.0,0.0,1,0,
11139,99801307100,8530 STEILACOOM RD SE # 4,OLYMPIA,WA,98513,14500.0,0.0,14500.0,0.0,0.0,1,0,
11140,99801308200,7300 32ND AVE NE # 12,OLYMPIA,WA,98516,17300.0,0.0,17300.0,0.0,0.0,1,0,
11141,99801308700,8510 MARTIN WAY E # 17,OLYMPIA,WA,98516,8700.0,0.0,8700.0,0.0,0.0,1,0,
11142,99801317300,8005 MARTIN WAY E # 25,OLYMPIA,WA,98516,8000.0,0.0,8000.0,0.0,0.0,1,0,
11143,99801318400,PO BOX 254,YELM,WA,98597,17700.0,0.0,17700.0,0.0,0.0,1,0,
11144,99801319200,6748 FIR TREE RD SE #11,OLYMPIA,WA,98513,32500.0,0.0,32500.0,46.96419,-122.81814,1,1,
11145,99801319900,7138 ENGLEWOOD DR SE # 35,OLYMPIA,WA,98513,23800.0,0.0,23800.0,0.0,0.0,1,0,
11146,99801321100,6748 FIR TREE RD SE # 6,OLYMPIA,WA,98513,3100.0,0.0,3100.0,46.96419,-122.81814,1,1,
11147,99801324100,16832 CORNUS CT SE,YELM,WA,98597,2000.0,0.0,2000.0,46.96146,-122.583,1,1,
11148,99801327300,7138 ENGLEWOOD DR SE TR #25A,OLYMPIA,WA,98513,13700.0,0.0,13700.0,0.0,0.0,1,0,
11149,99801332700,4500 MARTIN WAY E # 2,OLYMPIA,WA,98516,18400.0,0.0,18400.0,0.0,0.0,1,0,
11150,99801343800,510 DUTTEROW RD SE # 9,LACEY,WA,98513,63200.0,0.0,63200.0,0.0,0.0,1,0,
11151,99801344100,8005 MARTIN WAY E # 7,OLYMPIA,WA,98516,2400.0,0.0,2400.0,0.0,0.0,1,0,
11152,99801346100,8530 STEILACOOM RD SE # 137,OLYMPIA,WA,98513,8400.0,0.0,8400.0,0.0,0.0,1,0,
11153,99801351900,8530 STEILACOOM RD SE # 140,OLYMPIA,WA,98513,10300.0,0.0,10300.0,0.0,0.0,1,0,
11154,99801352700,8205 E MARTIN WAY # 149,OLYMPIA,WA,98516,1400.0,0.0,1400.0,0.0,0.0,1,0,
