area_code_list,bounds_east,bounds_north,bounds_south,bounds_west,common_city_list,county,housing_units,land_area_in_sqmi,lat,lng,major_city,median_home_value,median_household_income,occupied_housing_units,population,population_density,post_office_city,radius_in_miles,water_area_in_sqmi,zipcode,zipcode_type
['509'],-120.001265,47.233573,46.830756,-120.892912,['Ellensburg'],Kittitas County,12883.0,577.03,47.0,-120.4,Ellensburg,245400.0,40412.0,11887.0,30239.0,52.0,"Ellensburg, WA",33.0,2.31,98926,Standard
['509'],-121.167413,46.969915,46.856229,-121.321273,"['Naches', 'Goose Prairie']",Yakima County,0.0,0.0,46.8,-121.1,Naches,,,0.0,0.0,,"Naches, WA",32.0,0.0,98929,Standard
['509'],-119.746685,46.332295,46.201353,-119.999508,['Grandview'],Yakima County,4503.0,47.52,46.27,-119.9,Grandview,135900.0,44563.0,4292.0,15252.0,321.0,"Grandview, WA",7.0,0.26,98930,Standard
['509'],-120.087996,46.415504,46.255034,-120.227595,['Granger'],Yakima County,1361.0,33.79,46.3,-120.2,Granger,106900.0,39281.0,1286.0,5032.0,149.0,"Granger, WA",8.0,0.19,98932,Standard
['509'],-120.533979,46.433983,46.353298,-120.754686,['Harrah'],Yakima County,365.0,24.15,46.4,-120.6,Harrah,108100.0,53462.0,349.0,1267.0,52.0,"Harrah, WA",7.0,0.0,98933,Standard
['509'],-119.865378,46.280482,46.040138,-120.366946,['Mabton'],Yakima County,1133.0,267.73,46.1,-120.2,Mabton,120900.0,43438.0,1070.0,4190.0,16.0,"Mabton, WA",22.0,1.22,98935,Standard
['509'],-119.873907,46.644669,46.471106,-120.473274,['Moxee'],Yakima County,1964.0,141.55,46.6,-120.2,Moxee,177000.0,57841.0,1903.0,5872.0,41.0,"Moxee, WA",21.0,0.37,98936,Standard
['509'],-120.594043,47.088954,46.578633,-121.52327,"['Naches', 'Goose Prairie']",Yakima County,2478.0,784.94,46.6,-121.1,Naches,193500.0,46429.0,1633.0,4112.0,5.0,"Naches, WA",53.0,7.41,98937,Standard
['509'],-120.03163,46.481479,46.302097,-120.149111,['Outlook'],Yakima County,611.0,36.94,46.4,-120.1,Outlook,205200.0,49917.0,589.0,2177.0,59.0,"Outlook, WA",8.0,0.0,98938,Standard
['509'],-120.450581,46.911995,46.624137,-120.923515,['Selah'],Yakima County,6471.0,188.38,46.8,-120.7,Selah,199900.0,59067.0,6208.0,16973.0,90.0,"Selah, WA",16.0,0.52,98942,Standard
['509'],-119.258292,46.727396,46.242682,-120.147688,['Sunnyside'],Yakima County,6415.0,578.1,46.4,-119.9,Sunnyside,131700.0,36703.0,6124.0,22014.0,38.0,"Sunnyside, WA",21.0,10.55,98944,Standard
